Species,Area
Eleocharis_retroflexa,B
Eleocharis_robbinsii,B
Eleocharis_rostellata,B
Eleocharis_setifolia,AB
Eleocharis_spiralis,AB
Eleocharis_tenuis,B
Eleocharis_tetraquetra,B
Eleocharis_torticulmis,B
Eleocharis_trilateralis,B
Eleocharis_tuberculosa,B
Eleocharis_uniglumis,B
Eleocharis_valleculosa,B
Eleocharis_vivipara,B
Eleocharis_wichurae,B
Eleocharis_wolfii,B
Eriophorum_angustifolium,B
Eriophorum_brachyantherum,B
Eriophorum_callitrix,B
Eriophorum_chamissonis,B
Eriophorum_vaginatum,B
Eriophorum_virginicum,B
Erioscirpus_comosus,B
Evandra_aristata,B
Ficinia_distans,B
Ficinia_gracilis,B
Ficinia_gydomontana,B
Ficinia_indica,B
Ficinia_laciniata,B
Ficinia_nodosa,B
Ficinia_paradoxa,B
Ficinia_polystachya,B
Ficinia_radiata,B
Ficinia_ramossisima,B
Ficinia_repens,B
Ficinia_spiralis,B
Ficinia_trichodes,B
Ficinia_tristachya,B
Fimbristylis_acuminata,B
Fimbristylis_aestivalis,B
Fimbristylis_autumnalis,B
Fimbristylis_bisumbellata,AB
Fimbristylis_caroliniana,B
Fimbristylis_complanata,AB
Fimbristylis_cymosa,AB
Fimbristylis_dichotoma,AB
Fimbristylis_diphylloides,B
Fimbristylis_ferruginea,AB
Fimbristylis_littoralis,AB
Fimbristylis_miliacea,AB
Fimbristylis_ovata,AB
Fimbristylis_polytrichoides,AB
Fimbristylis_puberula,B
Fimbristylis_quinquangularis,AB
Fimbristylis_schoenoides,B
Fimbristylis_sieboldii,B
Fimbristylis_spadicea,B
Fimbristylis_squarrosa,B
Fimbristylis_tetragona,B
Fimbristylis_thermalis,B
Fimbristylis_tristachya,B
Fimbristylis_variegata,B
Fimbristylis_velata,B
Fuirena_abnormalis,B
Fuirena_breviseta,B
Fuirena_ciliaris,B
Fuirena_coerulescens,AB
Fuirena_pubescens,AB
Fuirena_pumila,B
Fuirena_scirpoidea,B
Fuirena_simplex,B
Fuirena_stricta,AB
Fuirena_umbellata,AB
Fuirena_welwitschii,B
Gahnia_aspera,B
Gahnia_baniensis,B
Gahnia_deusta,B
Gahnia_melanocarpa,B
Gahnia_trifida,B
Gahnia_tristis,B
Gymnoschoenus_sphaerocephalus,B
Hellmuthia_membranacea,B
Hypolytrum_longifolium,B
Hypolytrum_nemorum,B
Isolepis_aucklandica,B
Isolepis_carinata,B
Isolepis_cernua,B
Isolepis_costata,AB
Isolepis_crassiuscula,B
Isolepis_diabolica,B
Isolepis_digitata,B
Isolepis_fluitans,AB
Isolepis_graminoides,B
Isolepis_hystrix,B
Isolepis_keniaensis,B
Isolepis_marginata,B
Isolepis_montivaga,B
Isolepis_prolifera,B
Isolepis_sepulcralis,AB
Isolepis_setacea,B
Isolepis_sulcata,B
Isolepis_varians,B
Juncus_acutus,B
Juncus_capitatus,B
Juncus_effusus,AB
Juncus_trifidus,B
Khaosokia_caricoides,B
Lagenocarpus_albo-niger,B
Lagenocarpus_guianensis,B
Lepidosperma_longitudinale,B
Lepidosperma_tortuosum,B
Lepironia_articulata,AB
Machaerina_articulata,B
Machaerina_glomerata,B
Machaerina_iridifolia,A
Machaerina_mariscoides,B
Machaerina_rubiginosa,B
Machaerina_scirpoidea,B
Machaerina_sinclairii,B
Mapania_assimilis,B
Mapania_cuspidata,B
Mapania_meditensis,B
Mapania_pycnocephala,B
Mesomelaena_pseudostygia,B
Mesomelaena_tetragona,B
Microdracoides_squamosa,B
Morelotia_affinis,B
Morelotia_gahniiformis,B
Neesenbeckia_punctoria,B
Oreobolopsis_clementis,B
Oreobolopsis_inversa,B
